Date,Time,Timezone,Cost[EUR],UnitPrice[EUR/kWh],UnitPriceVAT[EUR/kWh],Consumption[kWh]
2025-04-27,03:00,+02:00,0.064394,0.249591,0.039851,0.258
2025-04-27,04:00,+02:00,0.064500,0.250971,0.040071,0.257
2025-04-27,05:00,+02:00,0.064599,0.254327,0.040607,0.254
2025-04-27,06:00,+02:00,0.050981,0.262788,0.041958,0.194
2025-04-27,07:00,+02:00,0.010516,0.262895,0.041975,0.040
2025-04-27,08:00,+02:00,0.000000,0.256445,0.040945,0.000
2025-04-27,09:00,+02:00,0.000000,0.222209,0.035479,0.000
2025-04-27,10:00,+02:00,0.000000,0.180666,0.028846,0.000
2025-04-27,11:00,+02:00,0.000000,0.177048,0.028268,0.000
2025-04-27,12:00,+02:00,0.000000,0.140301,0.022401,0.000
2025-04-27,13:00,+02:00,0.000000,0.060381,0.009641,0.000
2025-04-27,14:00,+02:00,0.000000,0.026144,0.004174,0.000
2025-04-27,15:00,+02:00,0.000000,0.041852,0.006682,0.000
2025-04-27,16:00,+02:00,0.000121,0.121118,0.019338,0.001
2025-04-27,17:00,+02:00,0.003838,0.174466,0.027856,0.022
2025-04-27,18:00,+02:00,0.001215,0.202455,0.032325,0.006
2025-04-27,19:00,+02:00,0.002611,0.290074,0.046314,0.009
2025-04-27,20:00,+02:00,0.141878,0.312506,0.049896,0.454
2025-04-27,21:00,+02:00,0.084084,0.328452,0.052442,0.256
2025-04-27,22:00,+02:00,0.075790,0.310614,0.049594,0.244
2025-04-27,23:00,+02:00,0.087439,0.298428,0.047648,0.293
2025-04-28,00:00,+02:00,0.242530,0.292204,0.046655,0.830
2025-04-28,01:00,+02:00,0.162325,0.290384,0.046364,0.559
2025-04-28,02:00,+02:00,0.556308,0.283541,0.045271,1.962
2025-04-28,03:00,+02:00,0.063728,0.279507,0.044627,0.228
2025-04-28,04:00,+02:00,0.065483,0.282256,0.045066,0.232
2025-04-28,05:00,+02:00,0.069971,0.289134,0.046164,0.242
2025-04-28,06:00,+02:00,0.058307,0.299011,0.047741,0.195
2025-04-28,07:00,+02:00,0.015625,0.347218,0.055438,0.045
2025-04-28,08:00,+02:00,0.000000,0.336615,0.053745,0.000
2025-04-28,09:00,+02:00,0.000000,0.295870,0.047240,0.000
2025-04-28,10:00,+02:00,0.000000,0.260788,0.041639,0.000
2025-04-28,11:00,+02:00,0.000000,0.192554,0.030744,0.000
2025-04-28,12:00,+02:00,0.000000,0.180606,0.028836,0.000
2025-04-28,13:00,+02:00,0.000000,0.175834,0.028074,0.000
2025-04-28,14:00,+02:00,0.000000,0.173597,0.027717,0.000
2025-04-28,15:00,+02:00,0.004505,0.173264,0.027664,0.026
2025-04-28,16:00,+02:00,0.003933,0.178786,0.028546,0.022
2025-04-28,17:00,+02:00,0.003477,0.183010,0.029220,0.019
2025-04-28,18:00,+02:00,0.002927,0.266096,0.042486,0.011
2025-04-28,19:00,+02:00,0.002415,0.301903,0.048203,0.008
2025-04-28,20:00,+02:00,0.316637,0.358999,0.057319,0.882
2025-04-28,21:00,+02:00,3.027325,0.412442,0.065852,7.340
2025-04-28,22:00,+02:00,0.171638,0.333926,0.053316,0.514
2025-04-28,23:00,+02:00,0.092113,0.307044,0.049024,0.300
2025-04-29,00:00,+02:00,0.073666,0.295846,0.047236,0.249
2025-04-29,01:00,+02:00,0.066350,0.288480,0.046060,0.230
2025-04-29,02:00,+02:00,0.054524,0.283982,0.045342,0.192
2025-04-29,03:00,+02:00,0.046967,0.277913,0.044373,0.169
2025-04-29,04:00,+02:00,0.050569,0.274830,0.043881,0.184
2025-04-29,05:00,+02:00,0.051585,0.275854,0.044044,0.187
2025-04-29,06:00,+02:00,0.053065,0.288397,0.046046,0.184
2025-04-29,07:00,+02:00,0.016937,0.307948,0.049168,0.055
2025-04-29,08:00,+02:00,0.027111,0.315243,0.050333,0.086
2025-04-29,09:00,+02:00,0.034154,0.299594,0.047834,0.114
2025-04-29,10:00,+02:00,0.038008,0.273438,0.043658,0.139
2025-04-29,11:00,+02:00,0.004792,0.191697,0.030607,0.025
2025-04-29,12:00,+02:00,0.001445,0.180618,0.028838,0.008
2025-04-29,13:00,+02:00,0.001797,0.179714,0.028694,0.010
2025-04-29,14:00,+02:00,0.000000,0.178357,0.028477,0.000
2025-04-29,15:00,+02:00,0.000000,0.178631,0.028521,0.000
